Date,Balance
12/07,318.8579746835444
12/07,320.4355696202532
12/07,322.01316455696207
12/07,323.59075949367093
12/07,325.16835443037985
12/07,326.7459493670886
12/07,328.3235443037975
12/07,329.9011392405064
12/07,331.4787341772152
12/07,333.05632911392405
12/07,334.63392405063286
12/07,336.2115189873418
12/07,337.78911392405064
12/07,339.3667088607595
12/07,340.94430379746836
12/07,342.52189873417717
12/07,344.09949367088615
12/07,345.6770886075949
12/07,347.2546835443038
12/07,348.8322784810126
12/07,350.40987341772154
12/07,351.9874683544304
12/07,353.5650632911392
12/07,355.14265822784813
12/07,356.72025316455705
12/07,358.2978481012658
12/07,359.8754430379747
12/07,361.4530379746836
12/07,363.0306329113925
12/07,364.60822784810136
12/07,366.18582278481017
12/07,367.7634177215191
12/07,369.34101265822784
12/07,370.9186075949367
12/07,372.4962025316457
12/07,374.0737974683543
12/07,375.6513924050634
12/07,377.22898734177215
12/07,378.8065822784809
12/07,380.3841772151899
12/07,381.96177215189874
12/07,383.5393670886077
12/07,385.11696202531647
12/07,386.6945569620252
12/07,388.2721518987342
12/07,389.8497468354431
12/07,391.42734177215186
13/07,393.0049367088608
13/07,394.5825316455697
13/07,396.1601265822785
13/07,397.73772151898737
13/07,399.3153164556962
13/07,400.8929113924051
13/07,402.470506329114
13/07,404.0481012658228
13/07,405.6256962025317
13/07,407.2032911392405
13/07,408.7808860759494
13/07,410.35848101265816
13/07,411.9360759493672
13/07,413.513670886076
13/07,415.09126582278486
13/07,416.6688607594937
13/07,418.2464556962025
13/07,419.8240506329114
13/07,421.40164556962026
13/07,422.9792405063291
13/07,424.55683544303804
13/07,426.13443037974685
13/07,427.7120253164557
13/07,429.28962025316457
13/07,430.86721518987343
13/07,432.4448101265824
13/07,434.02240506329116
13/07,435.6
13/07,173.51
13/07,173.61333333333332
13/07,173.71666666666667
13/07,173.82
13/07,173.94673076923075
13/07,174.07346153846154
13/07,174.2001923076923
13/07,174.3269230769231
13/07,174.45365384615383
13/07,174.58038461538465
13/07,174.70711538461538
13/07,174.83384615384614
13/07,174.9605769230769
13/07,175.0873076923077
13/07,175.2140384615384
13/07,175.34076923076918
13/07,175.4675
13/07,175.59423076923076
13/07,175.72096153846152
13/07,175.8476923076923
14/07,175.9744230769231
14/07,176.10115384615384
14/07,176.2278846153846
14/07,176.3546153846154
14/07,176.48134615384618
14/07,176.6080769230769
14/07,176.7348076923077
14/07,176.86153846153846
14/07,176.98826923076922
14/07,177.11499999999995
14/07,177.24173076923077
14/07,177.36846153846153
14/07,177.4951923076923
14/07,177.6219230769231
14/07,177.74865384615384
14/07,177.8753846153846
